id,player_id,player_name,team,season,split_type,split_category,games,completions,attempts,completion_pct,pass_yards,pass_tds,interceptions,rating,sacks,sack_yards,net_yards_per_attempt,scraped_at,updated_at,rush_attempts,rush_yards,rush_tds,fumbles,fumbles_lost,fumbles_forced,fumbles_recovered,fumble_recovery_yards,fumble_recovery_tds,incompletions,wins,losses,ties,attempts_per_game,yards_per_game,rush_attempts_per_game,rush_yards_per_game,total_tds,points
1,joeburrow,Joe Burrow,CIN,2024,other,NFL,17,460,652,70.55,4918,43,9,108.50,48,278,7.54,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
2,joeburrow,Joe Burrow,CIN,2024,other,Home,8,223,299,74.58,2338,23,4,116.90,25,160,7.82,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
3,joeburrow,Joe Burrow,CIN,2024,other,Road,9,237,353,67.14,2580,20,5,101.50,23,118,7.31,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
4,joeburrow,Joe Burrow,CIN,2024,other,Win,9,241,329,73.25,2453,22,6,108.90,26,163,7.46,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
5,joeburrow,Joe Burrow,CIN,2024,other,Loss,8,219,323,67.80,2465,21,3,108.20,22,115,7.63,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
6,joeburrow,Joe Burrow,CIN,2024,other,0-7 points,11,317,450,70.44,3470,29,4,110.70,37,189,7.71,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
7,joeburrow,Joe Burrow,CIN,2024,other,8-14 points,3,67,96,69.79,711,5,3,95.40,5,27,7.41,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
8,joeburrow,Joe Burrow,CIN,2024,other,15+ points,3,76,106,71.70,737,9,2,111.20,6,62,6.95,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
9,joeburrow,Joe Burrow,CIN,2024,other,September,4,95,134,70.90,978,7,1,105.90,8,34,7.30,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
10,joeburrow,Joe Burrow,CIN,2024,other,October,4,90,129,69.77,1015,8,2,107.20,11,75,7.87,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
11,joeburrow,Joe Burrow,CIN,2024,other,November,3,89,145,61.38,1035,12,1,107.70,7,29,7.14,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
12,joeburrow,Joe Burrow,CIN,2024,other,December,5,149,198,75.25,1613,15,4,115.60,18,109,8.15,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
13,joeburrow,Joe Burrow,CIN,2024,other,January,1,37,46,80.43,277,1,1,89.90,4,31,6.02,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
14,joeburrow,Joe Burrow,CIN,2024,other,1-4,4,95,134,70.90,978,7,1,105.90,8,34,7.30,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
15,joeburrow,Joe Burrow,CIN,2024,other,5-8,4,90,129,69.77,1015,8,2,107.20,11,75,7.87,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
16,joeburrow,Joe Burrow,CIN,2024,other,9-12,4,117,183,63.93,1344,15,2,108.70,11,56,7.34,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
17,joeburrow,Joe Burrow,CIN,2024,other,13+,5,158,206,76.70,1581,13,4,110.90,18,113,7.67,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
18,joeburrow,Joe Burrow,CIN,2024,other,Sunday,12,288,419,68.74,3108,29,7,106.40,30,190,7.42,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
19,joeburrow,Joe Burrow,CIN,2024,other,Monday,2,62,82,75.61,693,6,1,119.60,4,22,8.45,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
