Split,Value,Cmp,Att,Inc,Cmp%,Yds,TD,1D,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,1D
Down,1st,179,243,64,73.66,2089,12,77,3,110.6,12,-64,8.6,9.03,18,51,2.8,0,3
,2nd,173,244,71,70.90,1576,14,92,4,100.4,10,-52,6.5,6.87,10,15,1.5,1,2
,3rd,97,150,53,64.67,1126,13,75,2,110.6,24,-154,7.5,8.64,14,135,9.6,1,11
,4th,11,15,4,73.33,127,4,9,0,138.1,2,-8,8.5,13.80,0,0,,0,0
Yards To Go,1-3,62,104,42,59.62,565,17,59,0,114.0,10,-80,5.4,8.70,8,15,1.9,1,7
,4-6,82,116,34,70.69,860,14,65,1,127.9,9,-43,7.4,9.44,2,12,6.0,0,1
,7-9,68,96,28,70.83,536,1,28,2,79.2,8,-53,5.6,4.85,6,48,8.0,0,3
,10+,248,336,88,73.81,2957,11,101,6,103.7,21,-102,8.8,8.65,26,126,4.8,1,5
Down & Yards to Go,1st & 10,159,207,48,76.81,1956,8,71,2,114.3,11,-58,9.4,9.79,18,51,2.8,0,3
,1st & <10,9,22,13,40.91,35,4,4,0,88.3,1,-6,1.6,5.23,0,0,,0,0
,1st & >10,11,14,3,78.57,98,0,2,1,66.1,0,0,7.0,3.79,0,0,,0,0
,2nd & 1-3,24,32,8,75.00,234,5,23,0,134.6,1,-6,7.3,10.44,3,2,.7,1,2
,2nd & 4-6,53,75,22,70.67,559,9,42,0,131.6,4,-14,7.5,9.85,1,2,2.0,0,0
,2nd & 7-9,51,68,17,75.00,348,0,18,1,79.8,5,-30,5.1,4.46,1,1,1.0,0,0
,2nd & 10+,54,83,29,65.06,533,2,18,3,76.0,1,-8,6.4,5.28,5,10,2.0,0,0
,3rd & 1-3,26,48,22,54.17,210,6,26,0,105.0,7,-66,4.4,6.88,5,13,2.6,0,5
,3rd & 4-6,39,62,23,62.90,463,7,35,1,116.5,10,-62,7.5,9.00,1,10,10.0,0,1
,3rd & 7-9,14,23,9,60.87,174,1,10,1,80.7,2,-17,7.6,6.48,5,47,9.4,0,3
,3rd & 10+,23,31,8,74.19,360,1,9,0,123.1,9,-36,11.6,12.26,3,65,21.7,1,2
