Split,Value,G,W,L,T,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,A/G,Y/G,Att,Yds,Y/A,TD,A/G,Y/G,TD,Pts,Fmb,FL,FF,FR,Yds,TD
League,NFL,17,9,8,0,460,652,192,70.55,4918,43,9,108.5,48,278,7.54,8.24,38.4,289.3,42,201,4.79,2,2.5,11.8,2,12,11,5,0,2,-3,0
Place,Home,8,3,5,0,223,299,76,74.58,2338,23,4,116.9,25,160,7.82,8.76,37.4,292.3,21,99,4.71,1,2.6,12.4,1,6,4,3,0,1,0,0
,Road,9,6,3,0,237,353,116,67.14,2580,20,5,101.5,23,118,7.31,7.80,39.2,286.7,21,102,4.86,1,2.3,11.3,1,6,7,2,0,1,-3,0
Result,Win,9,9,0,0,241,329,88,73.25,2453,22,6,108.9,26,163,7.46,7.97,36.6,272.6,20,114,5.70,2,2.2,12.7,2,12,4,2,0,0,0,0
,Loss,8,0,8,0,219,323,104,67.80,2465,21,3,108.2,22,115,7.63,8.51,40.4,308.1,22,87,3.95,0,2.8,10.9,0,0,7,3,0,2,-3,0
Final Margin,0-7 points,11,4,7,0,317,450,133,70.44,3470,29,4,110.7,37,189,7.71,8.60,40.9,315.5,29,91,3.14,1,2.6,8.3,1,6,9,3,0,2,-3,0
,8-14 points,3,3,0,0,67,96,29,69.79,711,5,3,95.4,5,27,7.41,7.04,32.0,237.0,5,65,13.00,1,1.7,21.7,1,6,1,1,0,0,0,0
,15+ points,3,2,1,0,76,106,30,71.70,737,9,2,111.2,6,62,6.95,7.80,35.3,245.7,8,45,5.63,0,2.7,15.0,0,0,1,1,0,0,0,0
Month,September,4,1,3,0,95,134,39,70.90,978,7,1,105.9,8,34,7.30,8.01,33.5,244.5,12,38,3.17,0,3.0,9.5,0,0,3,1,0,2,-2,0
,October,4,2,2,0,90,129,39,69.77,1015,8,2,107.2,11,75,7.87,8.41,32.3,253.8,12,68,5.67,1,3.0,17.0,1,6,0,0,0,0,0,0
,November,3,1,2,0,89,145,56,61.38,1035,12,1,107.7,7,29,7.14,8.48,48.3,345.0,7,45,6.43,0,2.3,15.0,0,0,2,0,0,0,-1,0
,December,5,4,1,0,149,198,49,75.25,1613,15,4,115.6,18,109,8.15,8.75,39.6,322.6,10,51,5.10,1,2.0,10.2,1,6,5,4,0,0,0,0
,January,1,1,0,0,37,46,9,80.43,277,1,1,89.9,4,31,6.02,5.48,46.0,277.0,1,-1,-1.00,0,1.0,-1.0,0,0,1,0,0,0,0,0
Game Number,1-4,4,1,3,0,95,134,39,70.90,978,7,1,105.9,8,34,7.30,8.01,33.5,244.5,12,38,3.17,0,3.0,9.5,0,0,3,1,0,2,-2,0
,5-8,4,2,2,0,90,129,39,69.77,1015,8,2,107.2,11,75,7.87,8.41,32.3,253.8,12,68,5.67,1,3.0,17.0,1,6,0,0,0,0,0,0
